i;date;currency;open;high;low;close;volume
169;2023-11-15 09:30:00;AAPL;187.8450;188.7000;187.8000;188.2560;3870631
170;2023-11-15 09:15:00;AAPL;187.8300;187.9200;187.4400;187.8100;375099
171;2023-11-15 09:00:00;AAPL;187.9000;187.9900;187.1150;187.8000;40815
172;2023-11-15 08:45:00;AAPL;187.7000;187.9700;187.4400;187.8600;43931
173;2023-11-15 08:30:00;AAPL;188.3600;188.8800;187.6100;187.6700;126825
174;2023-11-15 08:15:00;AAPL;188.1900;188.4000;188.1200;188.3600;24195
175;2023-11-15 08:00:00;AAPL;188.1010;188.5220;187.4400;188.1900;1309570
176;2023-11-15 07:45:00;AAPL;188.2600;188.3500;188.1300;188.3100;38269
177;2023-11-15 07:30:00;AAPL;188.2600;188.3400;188.2200;188.2500;13511
178;2023-11-15 07:15:00;AAPL;188.4600;188.4600;188.2000;188.2400;33911
179;2023-11-15 07:00:00;AAPL;187.9600;188.5300;187.9400;188.4600;36542
180;2023-11-15 06:45:00;AAPL;187.9800;188.0000;187.9300;187.9900;4237
181;2023-11-15 06:30:00;AAPL;187.9700;188.1000;187.9700;187.9800;3262
182;2023-11-15 06:15:00;AAPL;187.9000;188.0000;187.9000;187.9700;3132
183;2023-11-15 06:00:00;AAPL;188.0000;188.0000;187.8700;187.9000;1514
184;2023-11-15 05:45:00;AAPL;187.9600;188.0700;187.9400;188.0000;4978
185;2023-11-15 05:30:00;AAPL;187.8800;188.0000;187.8800;187.9500;3852
186;2023-11-15 05:15:00;AAPL;187.8500;187.8800;187.8400;187.8800;1570
187;2023-11-15 05:00:00;AAPL;187.8000;187.8800;187.7500;187.8600;3418
188;2023-11-15 04:45:00;AAPL;187.7400;187.8100;187.6900;187.7900;2560
189;2023-11-15 04:30:00;AAPL;187.7700;187.8300;187.6900;187.6900;2170
190;2023-11-15 04:15:00;AAPL;187.8000;187.8600;187.7500;187.7700;6926
191;2023-11-15 04:00:00;AAPL;187.6700;187.9900;187.4000;187.8000;6092
192;2023-11-14 19:45:00;AAPL;187.3400;187.3800;187.2300;187.3600;5957
193;2023-11-14 19:30:00;AAPL;187.2200;187.4000;187.2000;187.3800;8108
194;2023-11-14 19:15:00;AAPL;187.2600;187.3100;187.1900;187.2400;4532
195;2023-11-14 19:00:00;AAPL;187.3250;187.3500;187.1600;187.2500;8528
196;2023-11-14 18:45:00;AAPL;187.3000;187.3900;187.2200;187.3300;7588
197;2023-11-14 18:30:00;AAPL;187.4000;187.4000;187.2900;187.3450;8915
198;2023-11-14 18:15:00;AAPL;187.3500;187.4000;187.2700;187.3950;4656
199;2023-11-14 18:00:00;AAPL;187.2400;187.4400;187.2000;187.3600;12146
200;2023-11-14 17:45:00;AAPL;187.2300;187.3200;184.7300;187.2400;14680
201;2023-11-14 17:30:00;AAPL;187.1500;187.4400;187.1500;187.2200;21343
202;2023-11-14 17:15:00;AAPL;187.2400;193.9530;174.5120;187.1500;14159
203;2023-11-14 17:00:00;AAPL;187.2400;187.4400;174.5120;187.2200;192651
204;2023-11-14 16:45:00;AAPL;187.3050;187.4400;187.1300;187.1900;42566
205;2023-11-14 16:30:00;AAPL;187.4000;187.5000;187.1300;187.3200;57160
206;2023-11-14 16:15:00;AAPL;187.4700;187.5300;187.2800;187.4000;120437
207;2023-11-14 16:00:00;AAPL;187.4400;187.5900;187.2100;187.4900;17717749
208;2023-11-14 15:45:00;AAPL;187.8600;187.9450;187.2100;187.4400;5095743
209;2023-11-14 15:30:00;AAPL;187.9250;188.0300;187.7200;187.8600;1787846
210;2023-11-14 15:15:00;AAPL;188.0250;188.1100;187.7600;187.9200;1782162
211;2023-11-14 15:00:00;AAPL;187.9000;188.0900;187.8000;188.0200;1941312
212;2023-11-14 14:45:00;AAPL;187.6850;187.9900;187.6850;187.9050;1853021
213;2023-11-14 14:30:00;AAPL;187.4150;187.6800;187.4150;187.6800;1741154
214;2023-11-14 14:15:00;AAPL;187.1250;187.4400;187.0200;187.4140;995008
215;2023-11-14 14:00:00;AAPL;187.2000;187.2200;186.8200;187.1200;1532153
216;2023-11-14 13:45:00;AAPL;187.3400;187.4000;187.1750;187.1900;855558
217;2023-11-14 13:30:00;AAPL;187.4600;187.4900;187.2600;187.3400;1176113
218;2023-11-14 13:15:00;AAPL;187.2750;187.4700;187.1100;187.4600;1019427
219;2023-11-14 13:00:00;AAPL;187.4400;187.5000;187.2500;187.2700;907884
220;2023-11-14 12:45:00;AAPL;187.3350;187.4600;187.3300;187.4300;798446
221;2023-11-14 12:30:00;AAPL;187.0600;187.3700;187.0100;187.3300;937592
222;2023-11-14 12:15:00;AAPL;187.1300;187.2200;186.9650;187.0550;980674
223;2023-11-14 12:00:00;AAPL;186.6600;187.1300;186.6100;187.1200;1552435
224;2023-11-14 11:45:00;AAPL;186.7650;186.8300;186.5900;186.6600;987941
225;2023-11-14 11:30:00;AAPL;186.9250;186.9300;186.4100;186.7700;1347287
226;2023-11-14 11:15:00;AAPL;187.1200;187.1600;186.6800;186.9260;1175386
227;2023-11-14 11:00:00;AAPL;187.0300;187.1600;186.8900;187.1200;1263402
228;2023-11-14 10:45:00;AAPL;187.2800;187.3800;186.8500;187.0250;1418028
229;2023-11-14 10:30:00;AAPL;187.4400;187.4800;187.1000;187.2850;1462858
